# 05_IMPORTS_STRATIFIED.txt
# Temporal and architectural classification
# Format: <module>|<era>|<module_reality>|<symbol_reality>

farfan_pipeline.methods.processor_config_schema|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_02.contract_validator_cqvr|ERA_MODERN|DEAD|N/A
tests.test_helpers.questionnaire_compat|ERA_UNKNOWN|LIVE|N/A
tempfile|ERA_UNKNOWN|DEAD|N/A
verify_phase2_labels|ERA_UNKNOWN|DEAD|N/A
uuid|ERA_UNKNOWN|DEAD|N/A
canonic_questionnaire_central.core.signal|ERA_UNKNOWN|LIVE|N/A
canonic_questionnaire_central.core.signal_distribution_orchestrator|ERA_UNKNOWN|LIVE|N/A
farfan_pipeline.infrastructure.irrigation_using_signals.extractors.financial_chain_extractor|ERA_MODERN|LIVE|N/A
farfan_pipeline.infrastructure.irrigation_using_signals.extractors.base_extractor|ERA_MODERN|LIVE|N/A
farfan_pipeline.infrastructure.irrigation_using_signals.extractors.causal_verb_extractor|ERA_MODERN|LIVE|N/A
canonic_questionnaire_central|ERA_UNKNOWN|LIVE|N/A
farfan_pipeline.phases.phase_4_7_aggregation_pipeline.aggregation|ERA_MODERN|DEAD|N/A
farfan_pipeline.phases.Phase_00.phase0_20_02_determinism|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_00.phase0_50_01_exit_gates|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_00.phase0_10_01_runtime_config|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_02.phase2_90_00_carver|ERA_MODERN|LIVE|N/A
math|ERA_UNKNOWN|DEAD|N/A
farfan_pipeline.phases.Phase_04.phase4_30_00_choquet_aggregator|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_00.phase0_40_00_input_validation|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_00.phase0_90_01_verified_pipeline_runner|ERA_MODERN|LIVE|N/A
random|ERA_UNKNOWN|DEAD|N/A
farfan_pipeline.phases.Phase_zero.phase0_50_01_exit_gates|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_03.phase3_10_00_phase3_signal_enriched_scoring|ERA_MODERN|DEAD|N/A
farfan_pipeline.phases.Phase_04.phase4_30_00_signal_enriched_aggregation|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_08.phase8_30_00_signal_enriched_recommendations|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_09.phase9_10_00_signal_enriched_reporting|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_02.phase2_30_04_circuit_breaker|ERA_MODERN|LIVE|N/A
farfan_pipeline.infrastructure.irrigation_using_signals.audit_signal_irrigation|ERA_MODERN|LIVE|N/A
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.audit.questionnaire_access_audit|ERA_MODERN|LIVE|N/A
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.audit.consumption_proof|ERA_MODERN|LIVE|N/A
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.integration.signal_consumption_integration|ERA_SIGNAL_CONSUMPTION|LIVE|N/A
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.signal_wiring_fixes|ERA_MODERN|DEAD|N/A
farfan_pipeline.infrastructure.irrigation_using_signals.visualization_generator|ERA_MODERN|LIVE|N/A
asyncio|ERA_UNKNOWN|DEAD|N/A
farfan_pipeline.orchestration.core_orchestrator|ERA_MODERN|DEAD|N/A
farfan_pipeline.orchestration.task_planner|ERA_MODERN|DEAD|N/A
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.signal_evidence_extractor|ERA_MODERN|DEAD|N/A
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.signal_context_scoper|ERA_MODERN|DEAD|N/A
farfan_pipeline.infrastructure.irrigation_using_signals.comprehensive_signal_audit|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_zero.phase0_10_00_paths|ERA_MODERN|LIVE|N/A
hypothesis|ERA_UNKNOWN|DEAD|N/A
farfan_pipeline.phases.phase_4_7_aggregation_pipeline.choquet_aggregator|ERA_MODERN|DEAD|N/A
farfan_pipeline.utils.retry|ERA_MODERN|LIVE|N/A
inspect|ERA_UNKNOWN|DEAD|N/A
canonic_questionnaire_central.scoring.modules|ERA_UNKNOWN|LIVE|N/A
farfan_core.farfan_core.core.performance_metrics|ERA_UNKNOWN|DEAD|N/A
threading|ERA_UNKNOWN|DEAD|N/A
farfan_pipeline.phases.Phase_zero.phase0_40_00_input_validation|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_zero.phase0_30_00_resource_controller|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_zero.phase0_50_00_boot_checks|ERA_MODERN|LIVE|N/A
farfan_pipeline.calibration|ERA_MODERN|LIVE|N/A
farfan_pipeline.pdm.profile|ERA_MODERN|LIVE|N/A
farfan_pipeline.calibration.pdm_calibrator|ERA_MODERN|LIVE|N/A
farfan_pipeline.calibration.type_defaults|ERA_MODERN|LIVE|N/A
canonic_questionnaire_central.resolver|ERA_UNKNOWN|LIVE|N/A
farfan_pipeline.infrastructure.irrigation_using_signals.ports|ERA_MODERN|LIVE|N/A
shutil|ERA_UNKNOWN|DEAD|N/A
astroid|ERA_UNKNOWN|DEAD|N/A
pylint.testutils|ERA_UNKNOWN|DEAD|N/A
farfan_pipeline.linters.pylint_unreachable_fallback|ERA_MODERN|LIVE|N/A
enum|ERA_UNKNOWN|DEAD|N/A
tests.sisas_integration.conftest|ERA_UNKNOWN|LIVE|N/A
farfan_pipeline.calibration.registry|ERA_MODERN|LIVE|N/A
farfan_pipeline.pdm.profiles|ERA_MODERN|DEAD|N/A
canonic_questionnaire_central.dimensions|ERA_UNKNOWN|DEAD|N/A
canonic_questionnaire_central.colombia_context|ERA_UNKNOWN|LIVE|N/A
farfan_pipeline.phases.Phase_zero.runtime_config_schema|ERA_MODERN|DEAD|N/A
canonic_questionnaire_central.validations.runtime_validators.channel_validator|ERA_UNKNOWN|LIVE|N/A
concurrent.futures|ERA_UNKNOWN|DEAD|N/A
farfan_pipeline.phases.Phase_02.phase2_30_03_resource_aware_executor|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_02.phase2_40_03_irrigation_synchronizer|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_02.phase2_50_01_task_planner|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_02.phase2_80_01_evidence_query_engine|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_02.phase2_50_00_task_executor|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_02.phase2_30_00_resource_manager|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_02.phase2_30_02_resource_alerts|ERA_MODERN|LIVE|N/A
farfan_pipeline.calibracion_parametrizacion.types|ERA_MODERN|DEAD|N/A
farfan_pipeline.phases.Phase_02.phase2_20_00_circuit_breaker|ERA_MODERN|DEAD|N/A
farfan_pipeline.phases.Phase_02.phase2_10_01_class_registry|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_02.phase2_10_02_methods_registry|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_02.phase2_80_00_evidence_nexus|ERA_MODERN|LIVE|N/A
farfan_pipeline.resilience|ERA_MODERN|DEAD|N/A
farfan_pipeline.core.types|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_02.carver|ERA_MODERN|DEAD|N/A
audit_macro_level_divergence|ERA_UNKNOWN|DEAD|N/A
farfan_pipeline.linters.mypy_fallback_plugin|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_00.phase0_30_00_resource_controller|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_02.phase2_95_03_executor_calibration_integration|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.phase_4_7_aggregation_pipeline.aggregation_validation|ERA_MODERN|DEAD|N/A
farfan_pipeline.infrastructure.extractors|ERA_MODERN|LIVE|N/A
canonic_questionnaire_central._registry.questions.signal_router|ERA_UNKNOWN|LIVE|N/A
farfan_pipeline.phases.Phase_01.phase1_11_00_signal_enrichment|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_03.phase3_24_00_signal_enriched_scoring|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_one.phase1_60_00_signal_enrichment|ERA_MODERN|DEAD|N/A
farfan_pipeline.phases.Phase_three.phase3_signal_enriched_scoring|ERA_MODERN|DEAD|N/A
.conftest|ERA_UNKNOWN|DEAD|N/A
copy|ERA_UNKNOWN|DEAD|N/A
string|ERA_UNKNOWN|DEAD|N/A
farfan_pipeline.phases.Phase_04|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_04.phase4_10_00_aggregation|ERA_MODERN|DEAD|N/A
farfan_pipeline.phases.Phase_05|ERA_MODERN|LIVE|N/A
farfan_pipeline.inference.bayesian_prior_builder|ERA_MODERN|LIVE|N/A
farfan_pipeline.inference.bayesian_sampling_engine|ERA_MODERN|LIVE|N/A
farfan_pipeline.inference.bayesian_diagnostics|ERA_MODERN|LIVE|N/A
farfan_pipeline.inference.bayesian_adapter|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_01|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_01.docs.legacy.phase1_01_00_cpp_models|ERA_MODERN|DEAD|N/A
farfan_pipeline.phases.Phase_01.phase1_13_00_cpp_ingestion|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_01.phase1_09_00_circuit_breaker|ERA_MODERN|LIVE|N/A
types|ERA_UNKNOWN|DEAD|N/A
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.signal_enhancement_integrator|ERA_MODERN|DEAD|N/A
farfan_pipeline.phases.Phase_02.contract_generator.input_registry|ERA_MODERN|DEAD|N/A
ast|ERA_UNKNOWN|DEAD|N/A
farfan_pipeline.core.policy_area_canonicalization|ERA_MODERN|DEAD|N/A
farfan_pipeline.phases.Phase_04.phase4_10_00_signal_enriched_aggregation|ERA_MODERN|DEAD|N/A
farfan_pipeline.phases.Phase_four_five_six_seven.aggregation|ERA_MODERN|DEAD|N/A
farfan_pipeline.phases.Phase_four_five_six_seven.uncertainty_quantification|ERA_MODERN|DEAD|N/A
farfan_pipeline.phases.Phase_four_five_six_seven.aggregation_provenance|ERA_MODERN|DEAD|N/A
farfan_pipeline.phases.Phase_four_five_six_seven.choquet_aggregator|ERA_MODERN|DEAD|N/A
farfan_pipeline.phases.Phase_four_five_six_seven.primitives.quality_levels|ERA_MODERN|DEAD|N/A
farfan_pipeline.phases.Phase_four_five_six_seven.interface.phase4_7_entry_contract|ERA_MODERN|DEAD|N/A
farfan_pipeline.phases.Phase_four_five_six_seven.validation.phase4_7_validation|ERA_MODERN|DEAD|N/A
farfan_pipeline.phases.Phase_four_five_six_seven.aggregation_integration|ERA_MODERN|DEAD|N/A
farfan_pipeline.phases.Phase_four_five_six_seven.interface.phase4_7_exit_contract|ERA_MODERN|DEAD|N/A
farfan_pipeline.phases.phase_4_7_aggregation_pipeline.validation|ERA_MODERN|DEAD|N/A
farfan_pipeline.phases.phase_4_7_aggregation_pipeline.enhancements|ERA_MODERN|DEAD|N/A
statistics|ERA_UNKNOWN|DEAD|N/A
farfan_pipeline.phases.phase_4_7_aggregation_pipeline.aggregation_provenance|ERA_MODERN|DEAD|N/A
farfan_pipeline.phases.Phase_04.phase4_30_00_aggregation|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_04.phase4_50_00_aggregation_integration|ERA_MODERN|DEAD|N/A
farfan_pipeline.phases.Phase_04.phase4_10_00_uncertainty_quantification|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_04.phase4_10_00_aggregation_provenance|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_04.primitives.phase4_10_00_quality_levels|ERA_MODERN|DEAD|N/A
farfan_pipeline.phases.Phase_04.phase4_10_00_phase_4_7_constants|ERA_MODERN|DEAD|N/A
farfan_pipeline.phases.Phase_04.enhancements.phase4_10_00_enhanced_aggregators|ERA_MODERN|DEAD|N/A
farfan_pipeline.phases.Phase_04.enhancements.phase4_40_00_adaptive_meso_scoring|ERA_MODERN|DEAD|N/A
farfan_pipeline.phases.Phase_04.enhancements.phase4_40_00_signal_enriched_aggregation|ERA_MODERN|DEAD|N/A
farfan_pipeline.phases.Phase_04.primitives.phase4_10_00_choquet_primitives|ERA_MODERN|DEAD|N/A
psutil  # noqa: F401|ERA_UNKNOWN|DEAD|N/A
farfan_pipeline.phases.phase_4_7_aggregation_pipeline.aggregation_enhancements|ERA_MODERN|DEAD|N/A
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.core.signal|ERA_MODERN|LIVE|N/A
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.signals.types.structural|ERA_MODERN|DEAD|N/A
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.signals.types.epistemic|ERA_MODERN|DEAD|N/A
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.signals.types.contrast|ERA_MODERN|DEAD|N/A
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.irrigation.irrigation_map|ERA_MODERN|LIVE|N/A
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.irrigation.irrigation_executor|ERA_MODERN|LIVE|N/A
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.vehicles.signal_registry|ERA_MODERN|LIVE|N/A
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.core.bus|ERA_MODERN|LIVE|N/A
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.core.contracts|ERA_MODERN|LIVE|N/A
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.core.event|ERA_MODERN|LIVE|N/A
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.signals.types.integrity|ERA_MODERN|DEAD|N/A
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.consumers.phase7.phase7_meso_consumer|ERA_MODERN|LIVE|N/A
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.audit.signal_auditor|ERA_MODERN|LIVE|N/A
csv|ERA_UNKNOWN|DEAD|N/A
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.scripts.generate_contracts|ERA_MODERN|LIVE|N/A
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.vehicles.signal_context_scoper|ERA_MODERN|LIVE|N/A
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.vocabulary.signal_vocabulary|ERA_MODERN|LIVE|N/A
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.vocabulary.capability_vocabulary|ERA_MODERN|LIVE|N/A
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.vocabulary.alignment_checker|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_nine.report_assembly|ERA_MODERN|DEAD|N/A
farfan_pipeline.phases.Phase_nine.report_generator|ERA_MODERN|DEAD|N/A
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.signal_method_metadata|ERA_MODERN|DEAD|N/A
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.signal_validation_specs|ERA_MODERN|DEAD|N/A
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.signal_scoring_context|ERA_MODERN|DEAD|N/A
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.signal_semantic_context|ERA_MODERN|DEAD|N/A
networkx|ERA_UNKNOWN|DEAD|N/A
farfan_pipeline.methods.causal_inference_dowhy|ERA_MODERN|LIVE|N/A
executor_calibration_integration|ERA_UNKNOWN|DEAD|N/A
traceback|ERA_UNKNOWN|DEAD|N/A
itertools|ERA_UNKNOWN|DEAD|N/A
orchestration.executor_chunk_synchronizer|ERA_UNKNOWN|DEAD|N/A
farfan_pipeline.analysis.scoring.scoring|ERA_MODERN|DEAD|N/A
farfan_pipeline.analysis.scoring.nexus_scoring_validator|ERA_MODERN|DEAD|N/A
farfan_pipeline.orchestration.calibration_types|ERA_MODERN|DEAD|N/A
farfan_pipeline.phases.Phase_00.phase0_00_01_domain_errors|ERA_MODERN|LIVE|N/A
farfan_pipeline.orchestration.canonical_executors|ERA_MODERN|DEAD|N/A
farfan_pipeline.phases.Phase_02.irrigation_synchronizer|ERA_MODERN|DEAD|N/A
farfan_pipeline.dashboard_atroz_.signal_extraction_sota|ERA_MODERN|LIVE|N/A
farfan_pipeline.dashboard_atroz_.signals_service|ERA_MODERN|LIVE|N/A
farfan_pipeline.dashboard_atroz_.api_v1_store|ERA_MODERN|LIVE|N/A
farfan_pipeline.dashboard_atroz_.ingestion|ERA_MODERN|LIVE|N/A
fastapi.testclient|ERA_UNKNOWN|DEAD|N/A
farfan_pipeline.dashboard_atroz_.pdet_colombia_data|ERA_MODERN|LIVE|N/A
farfan_pipeline.orchestration.metrics_persistence|ERA_MODERN|DEAD|N/A
farfan_pipeline.phases.Phase_02.contracts|ERA_MODERN|LIVE|N/A
gc|ERA_UNKNOWN|DEAD|N/A
farfan_pipeline.orchestration.method_registry|ERA_MODERN|LIVE|N/A
psutil|ERA_UNKNOWN|DEAD|N/A
farfan_pipeline.calibration.core|ERA_MODERN|DEAD|N/A
farfan_pipeline.analysis.scoring.mathematical_foundation|ERA_MODERN|DEAD|N/A
farfan_pipeline.phases.Phase_four_five_six_seven.adaptive_meso_scoring|ERA_MODERN|DEAD|N/A
farfan_pipeline.methods.causal_structure_learning|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_01.phase1_06_00_questionnaire_mapper|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_01.phase1_03_00_models|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_01.PHASE_1_CONSTANTS|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_01.phase1_07_00_sp4_question_aware|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_one.phase1_11_00_signal_enrichment|ERA_MODERN|DEAD|N/A
farfan_pipeline.phases.Phase_02.phase2_95_00_contract_hydrator|ERA_MODERN|LIVE|N/A
farfan_pipeline.infrastructure.contractual.dura_lex.risk_certificate|ERA_MODERN|LIVE|N/A
farfan_pipeline.infrastructure.contractual.dura_lex.traceability|ERA_MODERN|LIVE|N/A
farfan_pipeline.infrastructure.contractual.dura_lex.idempotency_dedup|ERA_MODERN|LIVE|N/A
farfan_pipeline.infrastructure.contractual.dura_lex.refusal|ERA_MODERN|LIVE|N/A
farfan_pipeline.infrastructure.contractual.dura_lex.alignment_stability|ERA_MODERN|LIVE|N/A
farfan_pipeline.infrastructure.contractual.dura_lex.total_ordering|ERA_MODERN|LIVE|N/A
farfan_pipeline.infrastructure.contractual.dura_lex.concurrency_determinism|ERA_MODERN|LIVE|N/A
farfan_pipeline.infrastructure.contractual.dura_lex.retriever_contract|ERA_MODERN|LIVE|N/A
weakref|ERA_UNKNOWN|DEAD|N/A
collections|ERA_UNKNOWN|DEAD|N/A
farfan_pipeline.infrastructure.contractual.dura_lex.budget_monotonicity|ERA_MODERN|LIVE|N/A
farfan_pipeline.infrastructure.contractual.dura_lex.context_immutability|ERA_MODERN|LIVE|N/A
farfan_pipeline.infrastructure.contractual.dura_lex.monotone_compliance|ERA_MODERN|LIVE|N/A
farfan_pipeline.infrastructure.contractual.dura_lex.failure_fallback|ERA_MODERN|LIVE|N/A
farfan_pipeline.infrastructure.contractual.dura_lex.snapshot_contract|ERA_MODERN|LIVE|N/A
farfan_pipeline.infrastructure.contractual.dura_lex.routing_contract|ERA_MODERN|LIVE|N/A
farfan_pipeline.infrastructure.contractual.dura_lex.permutation_invariance|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_01.phase1_01_00_cpp_models|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_01.phase1_12_01_pdm_integration|ERA_MODERN|LIVE|N/A
farfan_pipeline.pdm.profile.pdm_structural_profile|ERA_MODERN|LIVE|N/A
classification.hash_utils|ERA_UNKNOWN|DEAD|N/A
orchestration.method_registry|ERA_UNKNOWN|DEAD|N/A
farfan_pipeline.phases.Phase_zero.runtime_config|ERA_MODERN|DEAD|N/A
farfan_pipeline.phases.Phase_zero.exit_gates|ERA_MODERN|DEAD|N/A
farfan_pipeline.phases.Phase_01.contracts|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_01.contracts.phase1_10_00_phase1_mission_contract|ERA_MODERN|DEAD|N/A
orchestration.meta_layer|ERA_UNKNOWN|DEAD|N/A
farfan_pipeline.phases.Phase_08.phase8_20_00_recommendation_engine|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_08|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_01.interphase|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases|ERA_MODERN|DEAD|N/A
farfan_pipeline.phases.Phase_01.contracts.phase1_input_contract|ERA_MODERN|DEAD|N/A
farfan_pipeline.phases.Phase_01.contracts.phase1_output_contract|ERA_MODERN|DEAD|N/A
farfan_pipeline.infrastructure.extractors.financial_chain_extractor|ERA_MODERN|LIVE|N/A
farfan_pipeline.infrastructure.extractors.causal_verb_extractor|ERA_MODERN|LIVE|N/A
farfan_pipeline.infrastructure.extractors.institutional_ner_extractor|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_06|ERA_MODERN|LIVE|N/A
orchestration.chain_layer|ERA_UNKNOWN|DEAD|N/A
farfan_pipeline.pdm.contracts|ERA_MODERN|LIVE|N/A
..base_consumer|ERA_UNKNOWN|DEAD|N/A
...core.signal|ERA_UNKNOWN|LIVE|N/A
argparse|ERA_UNKNOWN|DEAD|N/A
.dependency_graph|ERA_UNKNOWN|DEAD|N/A
unittest|ERA_UNKNOWN|DEAD|N/A
src.farfan_pipeline.orchestration.dependency_graph|ERA_UNKNOWN|LIVE|N/A
.signal|ERA_UNKNOWN|DEAD|N/A
.signal_distribution_orchestrator|ERA_UNKNOWN|DEAD|N/A
._registry.questions.question_loader|ERA_UNKNOWN|LIVE|N/A
._registry.questions.signal_router|ERA_UNKNOWN|LIVE|N/A
._registry.questions.pattern_inheritance|ERA_UNKNOWN|LIVE|N/A
.resolver|ERA_UNKNOWN|LIVE|N/A
.core|ERA_UNKNOWN|LIVE|N/A
abc|ERA_UNKNOWN|DEAD|N/A
canonic_questionnaire_central.validations.runtime_validators.scope_validator|ERA_UNKNOWN|LIVE|N/A
canonic_questionnaire_central.validations.runtime_validators.value_add_validator|ERA_UNKNOWN|LIVE|N/A
canonic_questionnaire_central.validations.runtime_validators.capability_validator|ERA_UNKNOWN|LIVE|N/A
yaml|ERA_UNKNOWN|DEAD|N/A
canonic_questionnaire_central.cross_cutting|ERA_UNKNOWN|LIVE|N/A
functools|ERA_UNKNOWN|DEAD|N/A
.core.signal_distribution_orchestrator|ERA_UNKNOWN|LIVE|N/A
.core.signal|ERA_UNKNOWN|LIVE|N/A
canonic_questionnaire_central.scoring|ERA_UNKNOWN|LIVE|N/A
canonic_questionnaire_central.scoring.validators|ERA_UNKNOWN|LIVE|N/A
.modules|ERA_UNKNOWN|DEAD|N/A
.validators|ERA_UNKNOWN|DEAD|N/A
.scoring_validators|ERA_UNKNOWN|DEAD|N/A
..modules.quality_levels|ERA_UNKNOWN|DEAD|N/A
..modules.scoring_modalities|ERA_UNKNOWN|DEAD|N/A
.pdet_scoring_enrichment|ERA_UNKNOWN|DEAD|N/A
.quality_levels|ERA_UNKNOWN|DEAD|N/A
.scoring_modalities|ERA_UNKNOWN|DEAD|N/A
.phase4_territorial_integration|ERA_UNKNOWN|DEAD|N/A
fastapi|ERA_UNKNOWN|DEAD|N/A
fastapi.responses|ERA_UNKNOWN|DEAD|N/A
canonic_questionnaire_central.validations.runtime_validators|ERA_UNKNOWN|LIVE|N/A
uvicorn|ERA_UNKNOWN|DEAD|N/A
canonic_questionnaire_central._registry.sisas_canonical_map|ERA_UNKNOWN|LIVE|N/A
canonic_questionnaire_central._registry.questions.pattern_inheritance|ERA_UNKNOWN|LIVE|N/A
canonic_questionnaire_central._registry.questions.question_loader|ERA_UNKNOWN|LIVE|N/A
setuptools|ERA_UNKNOWN|DEAD|N/A
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS|ERA_MODERN|LIVE|N/A
farfan_pipeline.orchestration|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_00.interphase.wiring_types|ERA_MODERN|LIVE|N/A
farfan_pipeline.infrastructure.calibration.calibration_core|ERA_MODERN|DEAD|N/A
farfan_pipeline.infrastructure.calibration|ERA_MODERN|LIVE|N/A
farfan_pipeline.infrastructure.questionnaire.modular_resolver|ERA_MODERN|LIVE|N/A
importlib|ERA_UNKNOWN|DEAD|N/A
farfan_pipeline.phases.Phase_06.phase6_10_01_scoring_config|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_06.phase6_10_00_phase_6_constants|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_06.phase6_20_00_adaptive_meso_scoring|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_06.contracts.phase6_output_contract|ERA_MODERN|DEAD|N/A
farfan_pipeline.orchestration.sisas_integration_hub|ERA_MODERN|LIVE|N/A
resource|ERA_UNKNOWN|DEAD|N/A
