# 06_DECISION_MATRIX.txt
# Mechanical remediation actions per import
# Format: <module>|<era>|<module_reality>|<symbol_reality>|<action>|<status>

subprocess|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.core.signal_distribution_orchestrator|ERA_UNKNOWN|LIVE|N/A|INVESTIGATE|UNKNOWN
.core.signal|ERA_UNKNOWN|LIVE|N/A|INVESTIGATE|UNKNOWN
warnings|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
argparse|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
canonic_questionnaire_central.dimensions|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
canonic_questionnaire_central|ERA_UNKNOWN|LIVE|N/A|INVESTIGATE|UNKNOWN
._registry.questions.question_loader|ERA_UNKNOWN|LIVE|N/A|INVESTIGATE|UNKNOWN
._registry.questions.signal_router|ERA_UNKNOWN|LIVE|N/A|INVESTIGATE|UNKNOWN
._registry.questions.pattern_inheritance|ERA_UNKNOWN|LIVE|N/A|INVESTIGATE|UNKNOWN
.resolver|ERA_UNKNOWN|LIVE|N/A|INVESTIGATE|UNKNOWN
.core|ERA_UNKNOWN|LIVE|N/A|INVESTIGATE|UNKNOWN
py_compile|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
importlib.util|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
os|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
random|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.dashboard_atroz_.pdet_colombia_data|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
ast|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
shutil|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
tempfile|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
inspect|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.core.event|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.core.signal|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.core.contracts|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.infrastructure.extractors.financial_chain_extractor|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.infrastructure.extractors.causal_verb_extractor|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.infrastructure.extractors.institutional_ner_extractor|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.orchestration.core_orchestrator|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.infrastructure.questionnaire.modular_resolver|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
canonic_questionnaire_central.scoring.modules.pdet_scoring_enrichment|ERA_UNKNOWN|LIVE|N/A|INVESTIGATE|UNKNOWN
farfan_pipeline.infrastructure.calibration.calibration_core|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.infrastructure.calibration|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
importlib|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.phases.Phase_06.phase6_10_01_scoring_config|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.phases.Phase_06.phase6_10_00_phase_6_constants|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.phases.Phase_06.phase6_20_00_adaptive_meso_scoring|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.phases.Phase_06|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.phases.Phase_06.contracts.phase6_output_contract|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
canonic_questionnaire_central.validations.pdet_validator|ERA_UNKNOWN|LIVE|N/A|INVESTIGATE|UNKNOWN
numpy|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
resource|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
click|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
canonic_questionnaire_central.validations.audit_trail|ERA_UNKNOWN|LIVE|N/A|INVESTIGATE|UNKNOWN
canonic_questionnaire_central.validations.configuration|ERA_UNKNOWN|LIVE|N/A|INVESTIGATE|UNKNOWN
farfan_pipeline.phases.Phase_two.phase2_60_00_base_executor_with_contract|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.phases.phase_4_7_aggregation_pipeline.choquet_aggregator|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
pytest|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
unittest.mock|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.phases.Phase_zero.phase0_10_01_runtime_config|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.analysis.scoring.mathematical_foundation|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.phases.Phase_zero.phase0_50_01_exit_gates|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.calibration.registry|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.pdm.profiles|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
orchestration.settings|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.phases.Phase_02.phase2_60_00_base_executor_with_contract|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.signal_registry|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.signal_loader|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.phases.Phase_02.phase2_10_00_factory|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_zero.phase0_90_02_bootstrap|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.calibration|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.calibration.type_defaults|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.pdm.profile|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.calibration.pdm_calibrator|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.analysis.scoring.scoring|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.analysis.scoring.nexus_scoring_validator|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
networkx|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.methods.causal_inference_dowhy|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.core.policy_area_canonicalization|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
copy|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
string|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.conftest|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.phases.Phase_04|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_04.phase4_10_00_aggregation|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_05|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.pdm.profile.pdm_structural_profile|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_01.phase1_03_00_models|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.pdm.contracts|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
gc|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
orchestration.method_registry|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
psutil|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.phases.Phase_01.contracts|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_01.contracts.phase1_10_00_phase1_mission_contract|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
canonic_questionnaire_central.resolver|ERA_UNKNOWN|LIVE|N/A|INVESTIGATE|UNKNOWN
farfan_pipeline.phases.Phase_01|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_01.docs.legacy.phase1_01_00_cpp_models|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.phases.Phase_01.phase1_13_00_cpp_ingestion|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_01.phase1_09_00_circuit_breaker|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.infrastructure.irrigation_using_signals.ports|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_02.phase2_10_00_factory|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.signal_method_metadata|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.signal_validation_specs|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.signal_scoring_context|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.signal_semantic_context|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
orchestration.executor_chunk_synchronizer|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.orchestration.metrics_persistence|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.audit.questionnaire_access_audit|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.audit.consumption_proof|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.integration.signal_consumption_integration|ERA_SIGNAL_CONSUMPTION|LIVE|N/A|INVESTIGATE|UNKNOWN
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.signal_evidence_extractor|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.signal_context_scoper|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.infrastructure.irrigation_using_signals.comprehensive_signal_audit|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_zero.phase0_10_00_paths|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
itertools|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
types|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.phases.Phase_one.phase1_06_00_questionnaire_mapper|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.phases.Phase_one.phase1_03_00_models|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.phases.Phase_one.PHASE_1_CONSTANTS|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.phases.Phase_one|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.phases.Phase_one.phase1_07_00_sp4_question_aware|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.phases.Phase_one.phase1_11_00_signal_enrichment|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.phases.Phase_02.contract_validator_cqvr|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.phases.Phase_zero.runtime_config|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.phases.Phase_zero.exit_gates|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.phases.Phase_zero.phase0_50_00_boot_checks|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_02.phase2_80_00_evidence_nexus|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.signal_enhancement_integrator|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.phases.Phase_02.contract_generator.input_registry|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_zero.runtime_config_schema|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.phases.Phase_02.phase2_95_00_contract_hydrator|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_02.phase2_80_01_evidence_query_engine|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_02.contracts|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
threading|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.phases.Phase_zero.phase0_40_00_input_validation|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_zero.phase0_30_00_resource_controller|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
weakref|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
astroid|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
pylint.testutils|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.linters.pylint_unreachable_fallback|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.infrastructure.irrigation_using_signals.audit_signal_irrigation|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.signal_wiring_fixes|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.infrastructure.irrigation_using_signals.visualization_generator|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.methods.heterogeneous_treatment_effects|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.phase_4_7_aggregation_pipeline.aggregation|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.inference.bayesian_prior_builder|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.inference.bayesian_sampling_engine|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.inference.bayesian_diagnostics|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.inference.bayesian_adapter|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.methods.processor_config_schema|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_02.phase2_40_03_irrigation_synchronizer|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_02.phase2_50_00_task_executor|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.calibracion_parametrizacion.types|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.phases.Phase_02.phase2_90_00_carver|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_02.phase2_20_00_circuit_breaker|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.phases.Phase_02.phase2_30_00_resource_manager|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.utils.retry|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_02.phase2_10_01_class_registry|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_02.phase2_10_02_methods_registry|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_02.phase2_30_04_circuit_breaker|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_02.phase2_30_03_resource_aware_executor|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_02.phase2_50_01_task_planner|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_02.phase2_30_02_resource_alerts|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.calibration.core|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
verify_phase2_labels|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_core.farfan_core.core.performance_metrics|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.phases.phase_4_7_aggregation_pipeline.aggregation_enhancements|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.infrastructure.contractual.dura_lex.monotone_compliance|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.infrastructure.contractual.dura_lex.budget_monotonicity|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.infrastructure.contractual.dura_lex.concurrency_determinism|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.infrastructure.contractual.dura_lex.context_immutability|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.infrastructure.contractual.dura_lex.idempotency_dedup|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.infrastructure.contractual.dura_lex.traceability|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.infrastructure.contractual.dura_lex.refusal|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.infrastructure.contractual.dura_lex.failure_fallback|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.infrastructure.contractual.dura_lex.permutation_invariance|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.infrastructure.contractual.dura_lex.retriever_contract|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.infrastructure.contractual.dura_lex.routing_contract|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.infrastructure.contractual.dura_lex.total_ordering|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.infrastructure.contractual.dura_lex.alignment_stability|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.infrastructure.contractual.dura_lex.risk_certificate|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.infrastructure.contractual.dura_lex.snapshot_contract|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_nine.report_assembly|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.phases.Phase_nine.report_generator|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.dashboard_atroz_.ingestion|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.dashboard_atroz_.api_v1_store|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.dashboard_atroz_.signal_extraction_sota|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
fastapi.testclient|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.dashboard_atroz_.signals_service|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.vocabulary.signal_vocabulary|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.vocabulary.capability_vocabulary|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.vocabulary.alignment_checker|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.scripts.generate_contracts|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
