# 07_DEPENDENCY_GRAVITY.txt
# Import frequency and centrality metrics
# Format: <module>|<import_count>|<source_file_count>|<centrality>

.conftest|10|6|1.67
concurrent.futures|9|9|1.00
subprocess|9|9|1.00
importlib.util|9|9|1.00
types|9|9|1.00
canonic_questionnaire_central.core.signal|9|7|1.29
networkx|9|9|1.00
copy|9|8|1.12
jsonschema|9|7|1.29
farfan_pipeline.phases.Phase_01.phase1_09_00_circuit_breaker|9|5|1.80
farfan_pipeline.phases.Phase_02.phase2_90_00_carver|9|7|1.29
orchestration.method_registry|9|3|3.00
farfan_pipeline.phases.Phase_09.phase9_10_00_signal_enriched_reporting|9|2|4.50
farfan_pipeline.pdm.profile.pdm_structural_profile|8|8|1.00
psutil|8|7|1.14
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.signals|8|8|1.00
numpy.typing|8|8|1.00
.empirical_extractor_base|8|8|1.00
fitz|8|4|2.00
farfan_pipeline.phases.Phase_04.phase4_10_00_signal_enriched_aggregation|8|2|4.00
farfan_pipeline.phases.Phase_02.irrigation_synchronizer|8|1|8.00
farfan_pipeline.phases.Phase_nine.report_assembly|8|1|8.00
canonic_questionnaire_central.validations.runtime_validators|7|5|1.40
canonic_questionnaire_central.colombia_context.enrichment_orchestrator|7|6|1.17
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.signal_context_scoper|7|6|1.17
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.signal_consumption_integration|7|5|1.40
farfan_pipeline.phases.Phase_01.phase1_03_00_models|7|5|1.40
canonic_questionnaire_central.resolver|7|4|1.75
farfan_pipeline.phases.Phase_06.phase6_10_00_cluster_score|7|7|1.00
farfan_pipeline.phases.Phase_05.PHASE_5_CONSTANTS|7|6|1.17
farfan_pipeline.dashboard_atroz_.signals_service|7|2|3.50
farfan_pipeline.phases.Phase_nine.report_generator|7|1|7.00
fastapi|6|6|1.00
canonic_questionnaire_central.colombia_context|6|4|1.50
canonic_questionnaire_central.validations.pdet_validator|6|1|6.00
importlib|6|6|1.00
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.core.event|6|5|1.20
spacy|6|6|1.00
farfan_pipeline.calibration.registry|6|6|1.00
doctest|6|6|1.00
farfan_pipeline.orchestration.core_orchestrator|6|3|2.00
farfan_pipeline.phases.Phase_02.phase2_10_03_executor_config|6|6|1.00
farfan_pipeline.phases.Phase_00.phase0_40_00_input_validation|6|4|1.50
farfan_pipeline.phases.Phase_01.phase1_06_00_questionnaire_mapper|6|2|3.00
farfan_pipeline.phases.Phase_01.contracts|6|2|3.00
.method_expander|6|6|1.00
farfan_pipeline.phases.Phase_05.phase5_10_00_area_aggregation|6|5|1.20
farfan_pipeline.phases.phase_4_7_aggregation_pipeline.validation|6|2|3.00
farfan_pipeline.phases.Phase_03.phase3_10_00_phase3_signal_enriched_scoring|6|1|6.00
farfan_pipeline.phases.Phase_08.phase8_30_00_signal_enriched_recommendations|6|1|6.00
canonic_questionnaire_central.validations.runtime_validators.scope_validator|5|5|1.00
canonic_questionnaire_central.validations.runtime_validators.capability_validator|5|5|1.00
farfan_pipeline.phases.phase_4_7_aggregation_pipeline.choquet_aggregator|5|3|1.67
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.core.contracts|5|5|1.00
.calibration_core|5|5|1.00
unicodedata|5|5|1.00
blake3|5|5|1.00
contextlib|5|5|1.00
farfan_pipeline.infrastructure.contractual.dura_lex.aggregation_contract|5|5|1.00
farfan_pipeline.phases.Phase_00.phase0_20_02_determinism|5|5|1.00
farfan_pipeline.phases.Phase_00.phase0_50_01_exit_gates|5|5|1.00
.institutional_ner_extractor|5|5|1.00
..core.contracts|5|5|1.00
scipy|5|5|1.00
farfan_pipeline.core.dependency_lockdown|5|4|1.25
pickle|5|4|1.25
farfan_pipeline.phases.Phase_01.contracts.phase1_mission_contract|5|3|1.67
farfan_pipeline.utils.paths|5|5|1.00
farfan_pipeline.phases.Phase_02.phase2_10_02_methods_registry|5|5|1.00
.chain_composer|5|5|1.00
.contract_assembler|5|5|1.00
.contract_validator|5|5|1.00
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.core.bus|5|5|1.00
farfan_pipeline.utils.retry|5|5|1.00
farfan_pipeline.phases.Phase_07.phase7_10_00_macro_score|5|5|1.00
itertools|5|5|1.00
farfan_pipeline.phases.Phase_04.primitives|5|1|5.00
farfan_pipeline.phases.phase_4_7_aggregation_pipeline.aggregation_provenance|5|1|5.00
farfan_pipeline.phases.phase_4_7_aggregation_pipeline.aggregation_validation|5|2|2.50
farfan_pipeline.phases.Phase_one.phase1_06_00_questionnaire_mapper|5|1|5.00
canonic_questionnaire_central._registry.questions.signal_router|4|3|1.33
fastapi.responses|4|4|1.00
canonic_questionnaire_central.validations.runtime_validators.channel_validator|4|4|1.00
canonic_questionnaire_central.scoring.modules|4|4|1.00
yaml|4|4|1.00
farfan_pipeline.phases.Phase_00.interphase.wiring_types|4|4|1.00
farfan_pipeline.infrastructure.extractors.financial_chain_extractor|4|4|1.00
farfan_pipeline.infrastructure.extractors.causal_verb_extractor|4|4|1.00
farfan_pipeline.infrastructure.extractors.institutional_ner_extractor|4|4|1.00
.api_v1_schemas|4|4|1.00
flask|4|3|1.33
matplotlib.pyplot|4|4|1.00
io|4|4|1.00
farfan_pipeline.calibration.parameters|4|4|1.00
farfan_pipeline.phases.Phase_00.phase0_50_00_boot_checks|4|3|1.33
farfan_pipeline.phases.Phase_00.phase0_90_01_verified_pipeline_runner|4|4|1.00
orchestration.class_registry|4|3|1.33
.financial_chain_extractor|4|4|1.00
.causal_verb_extractor|4|4|1.00
transformers|4|4|1.00
..core.event|4|4|1.00
..core.bus|4|4|1.00
.phase8_30_00_signal_enriched_recommendations|4|3|1.33
.base_extractor|4|4|1.00
retry_handler|4|2|2.00
farfan_pipeline.core.canonical_notation|4|3|1.33
farfan_pipeline.phases.Phase_00.phase0_90_03_wiring_validator|4|4|1.00
farfan_pipeline.phases.Phase_02.phase2_10_01_class_registry|4|4|1.00
farfan_pipeline.phases.Phase_01.PHASE_1_CONSTANTS|4|4|1.00
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.vehicles.signal_registry|4|4|1.00
farfan_pipeline.phases.Phase_zero.phase0_50_01_exit_gates|4|4|1.00
farfan_pipeline.calibration|4|4|1.00
gc|4|4|1.00
farfan_pipeline.phases.Phase_04.primitives.phase4_00_00_aggregation_settings|4|4|1.00
farfan_pipeline.phases.Phase_04.phase4_10_00_choquet_adapter|4|3|1.33
farfan_pipeline.phases.Phase_04.phase4_10_00_uncertainty_quantification|4|4|1.00
farfan_pipeline.phases.Phase_05.contracts.phase5_input_contract|4|3|1.33
farfan_pipeline.processing.uncertainty_quantification|4|4|1.00
farfan_pipeline.phases.Phase_07.phase7_10_00_systemic_gap_detector|4|2|2.00
hypothesis|4|4|1.00
farfan_pipeline.phases.Phase_01.contracts.phase1_10_00_phase1_mission_contract|4|2|2.00
uvicorn|3|3|1.00
canonic_questionnaire_central.validations.runtime_validators.value_add_validator|3|3|1.00
.signal|3|3|1.00
canonic_questionnaire_central.scoring.validators|3|3|1.00
.quality_levels|3|3|1.00
canonic_questionnaire_central.validations.audit_trail|3|1|3.00
.epistemic_core|3|3|1.00
.registry|3|3|1.00
sklearn.feature_extraction.text|3|3|1.00
hmac|3|3|1.00
farfan_pipeline.utils.enhanced_contracts|3|3|1.00
farfan_pipeline.phases.Phase_02.executors.base_executor_with_contract|3|3|1.00
canonic_questionnaire_central.core.signal_distribution_orchestrator|3|3|1.00
string|3|3|1.00
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.signal_evidence_extractor|3|2|1.50
torch|3|3|1.00
sentence_transformers|3|3|1.00
canonic_questionnaire_central.constants|3|3|1.00
farfan_pipeline.phases.Phase_00.phase0_90_02_bootstrap|3|3|1.00
farfan_pipeline.phases.Phase_02.phase2_60_02_arg_router|3|3|1.00
farfan_pipeline.infrastructure.contractual.dura_lex.idempotency_dedup|3|3|1.00
farfan_pipeline.infrastructure.contractual.dura_lex.traceability|3|3|1.00
farfan_pipeline.phases.Phase_zero.phase0_10_00_paths|3|3|1.00
.PHASE_1_CONSTANTS|3|3|1.00
.primitives|3|2|1.50
farfan_pipeline.phases.Phase_01.contracts.phase1_input_contract|3|3|1.00
farfan_pipeline.phases.Phase_01.contracts.phase1_output_contract|3|3|1.00
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.signal_quality_metrics|3|3|1.00
farfan_pipeline.pdm.contracts|3|3|1.00
farfan_pipeline.phases.Phase_zero.phase0_40_00_input_validation|3|3|1.00
farfan_pipeline.phases.Phase_02.phase2_60_00_base_executor_with_contract|3|3|1.00
farfan_pipeline.phases.Phase_02.phase2_95_00_contract_hydrator|3|3|1.00
.json_emitter|3|3|1.00
farfan_pipeline.phases.Phase_02.interphase.phase1_phase2_adapter|3|3|1.00
farfan_pipeline.phases.Phase_02.interphase.phase2_phase3_adapter|3|3|1.00
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.irrigation.irrigation_executor|3|3|1.00
weakref|3|3|1.00
farfan_pipeline.phases.Phase_02.phase2_30_02_resource_alerts|3|3|1.00
farfan_pipeline.phases.Phase_02.phase2_30_03_resource_aware_executor|3|3|1.00
farfan_pipeline.phases.Phase_02.phase2_60_04_calibration_policy|3|2|1.50
farfan_pipeline.phases.Phase_02.phase2_50_01_task_planner|3|3|1.00
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.signal_contract_validator|3|1|3.00
farfan_pipeline.phases.Phase_02.phase2_80_01_evidence_query_engine|3|3|1.00
farfan_pipeline.phases.Phase_04.phase4_10_00_choquet_aggregator|3|3|1.00
farfan_pipeline.phases.Phase_04.phase4_10_00_aggregation_provenance|3|3|1.00
farfan_pipeline.phases.Phase_04.phase4_10_00_aggregation_settings|3|3|1.00
farfan_pipeline.phases.Phase_05.phase5_10_00_area_score|3|3|1.00
farfan_pipeline.phases.Phase_04.contracts.phase4_input_contract|3|2|1.50
farfan_pipeline.phases.Phase_06.phase6_10_01_scoring_config|3|3|1.00
farfan_pipeline.calibration.decorators|3|3|1.00
.phase8_00_00_data_models|3|3|1.00
farfan_pipeline.orchestration.calibration_types|3|2|1.50
farfan_pipeline.phases.phase_4_7_aggregation_pipeline.enhancements|3|2|1.50
farfan_pipeline.phases.Phase_four_five_six_seven.interface.phase4_7_entry_contract|3|1|3.00
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.signal_enhancement_integrator|3|1|3.00
farfan_pipeline.phases.Phase_2.phase2_10_00_factory|3|1|3.00
farfan_pipeline.phases.Phase_zero.phase0_50_00_boot_checks|3|3|1.00
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.signals.types.structural|3|3|1.00
farfan_pipeline.phases.Phase_three.phase3_signal_enriched_scoring|3|1|3.00
canonic_questionnaire_central.colombia_context.context_providers|2|2|1.00
canonic_questionnaire_central.dimensions|2|2|1.00
.core.signal|2|2|1.00
canonic_questionnaire_central.scoring|2|1|2.00
.scoring_modalities|2|2|1.00
.pdet_scoring_enrichment|2|2|1.00
farfan_pipeline.dashboard_atroz_.pdet_colombia_data|2|2|1.00
resource|2|2|1.00
farfan_pipeline.phases.Phase_two.phase2_60_00_base_executor_with_contract|2|2|1.00
.type_defaults|2|2|1.00
.pdm_calibrator|2|2|1.00
sse_starlette.sse|2|2|1.00
.api_v1_utils|2|2|1.00
.pdet_colombia_data|2|2|1.00
.bayesian_prior_builder|2|2|1.00
.bayesian_sampling_engine|2|2|1.00
.bayesian_diagnostics|2|2|1.00
arviz|2|2|1.00
pymc|2|2|1.00
audit_trail|2|2|1.00
farfan_pipeline.question_context|2|1|2.00
.structural_marker_extractor|2|2|1.00
.normative_reference_extractor|2|2|1.00
.quantitative_triplet_extractor|2|2|1.00
.core.event|2|2|1.00
.core.contracts|2|2|1.00
.core.bus|2|2|1.00
.phase1_11_00_signal_enrichment|2|2|1.00
.phase1_13_00_cpp_ingestion|2|2|1.00
... core.signal|2|2|1.00
.contracts|2|2|1.00
.irrigation_map|2|2|1.00
.types.structural|2|2|1.00
.types.integrity|2|2|1.00
.types.epistemic|2|2|1.00
.types.contrast|2|2|1.00
.types.operational|2|2|1.00
.types.consumption|2|2|1.00
.. core.signal|2|2|1.00
..signals.types.structural|2|2|1.00
farfan_pipeline.infrastructure.irrigation_using_signals.ports|2|2|1.00
farfan_pipeline.infrastructure.irrigation_using_signals.audit_signal_irrigation|2|2|1.00
farfan_pipeline.infrastructure.irrigation_using_signals.visualization_generator|2|2|1.00
.pdm_structural_profile|2|2|1.00
platform|2|2|1.00
astroid|2|2|1.00
sklearn.ensemble|2|2|1.00
nltk|2|1|2.00
scipy.stats|2|2|1.00
scipy.spatial.distance|2|2|1.00
scipy.special|2|2|1.00
farfan_pipeline.methods.causal_inference_dowhy|2|2|1.00
farfan_pipeline.inference.bayesian_adapter|2|2|1.00
farfan_pipeline.methods.causal_structure_learning|2|2|1.00
farfan_pipeline.methods.heterogeneous_treatment_effects|2|2|1.00
farfan_pipeline.core.policy_area_canonicalization|2|2|1.00
farfan_pipeline.methods.financiero_viabilidad_tablas|2|2|1.00
farfan_pipeline.analysis.spc_causal_bridge|2|1|2.00
farfan_pipeline.calibration.pdm_calibrator|2|2|1.00
farfan_pipeline.orchestration.orchestrator_config|2|2|1.00
farfan_pipeline.phases.Phase_00.primitives.providers|2|2|1.00
farfan_pipeline.orchestration.seed_registry|2|2|1.00
farfan_pipeline.phases.Phase_00.phase0_00_03_protocols|2|2|1.00
farfan_pipeline.utils.contract_io|2|1|2.00
farfan_pipeline.phases.Phase_00.phase0_30_00_resource_controller|2|2|1.00
.phase1_03_00_models|2|2|1.00
.phase1_05_00_thread_safe_results|2|2|1.00
.phase1_07_00_sp4_question_aware|2|1|2.00
farfan_pipeline.phases.Phase_one.phase1_models|2|2|1.00
..PHASE_1_CONSTANTS|2|2|1.00
unittest|2|2|1.00
farfan_pipeline.phases.Phase_01.primitives.streaming_extractor|2|2|1.00
farfan_pipeline.phases.Phase_01.docs.legacy.phase1_01_00_cpp_models|2|2|1.00
psutil  # noqa: F401|2|2|1.00
farfan_pipeline.phases|2|2|1.00
. contract_assembler|2|2|1.00
farfan_pipeline.phases.Phase_02.contract_generator|2|2|1.00
farfan_pipeline.phases.Phase_02.contracts.phase2_input_contract|2|2|1.00
farfan_pipeline.phases.Phase_02.contracts.phase2_mission_contract|2|2|1.00
farfan_pipeline.phases.Phase_02.contracts.phase2_output_contract|2|2|1.00
farfan_pipeline.phases.Phase_02.registries.questionnaire_signal_registry|2|2|1.00
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.vocabulary.signal_vocabulary|2|2|1.00
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.vocabulary.capability_vocabulary|2|2|1.00
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.vocabulary.alignment_checker|2|2|1.00
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.vehicles.signal_context_scoper|2|2|1.00
cross_cutting_infrastructure.irrigation_using_signals.SISAS.signals|2|1|2.00
orchestration.task_planner|2|2|1.00
prometheus_client|2|2|1.00
farfan_pipeline.phases.Phase_02.phase2_95_03_executor_calibration_integration|2|2|1.00
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.signal_intelligence_layer|2|1|2.00
farfan_pipeline.phases.Phase_02.phase2_20_00_circuit_breaker|2|2|1.00
farfan_pipeline.phases.Phase_02.contracts|2|2|1.00
.phase3_00_00_mathematical_foundation|2|2|1.00
.phase3_00_00_quality_levels|2|2|1.00
farfan_pipeline.phases.Phase_5|2|2|1.00
.|2|2|1.00
farfan_pipeline.phases.Phase_04.primitives.phase4_00_00_types|2|2|1.00
farfan_pipeline.phases.Phase_04.contracts.phase4_mission_contract|2|2|1.00
farfan_pipeline.phases.Phase_04.contracts.phase4_output_contract|2|2|1.00
farfan_pipeline.phases.Phase_05.phase5_10_00_area_validation|2|2|1.00
farfan_pipeline.phases.Phase_04|2|2|1.00
farfan_pipeline.phases.Phase_05.contracts.phase5_mission_contract|2|2|1.00
farfan_pipeline.phases.Phase_05.contracts.phase5_output_contract|2|2|1.00
.phase6_10_00_phase_6_constants|2|2|1.00
.phase8_20_00_recommendation_engine|2|1|2.00
.phase8_20_01_recommendation_engine_adapter|2|1|2.00
.interfaces|2|1|2.00
.interface_validator|2|2|1.00
base64|2|2|1.00
farfan_pipeline.phases.Phase_09.report_assembly|2|2|1.00
jinja2|2|2|1.00
weasyprint|2|2|1.00
matplotlib|2|2|1.00
farfan_pipeline.pdm.profile|2|2|1.00
farfan_pipeline.infrastructure.contractual.dura_lex.budget_monotonicity|2|2|1.00
farfan_pipeline.infrastructure.contractual.dura_lex.concurrency_determinism|2|2|1.00
farfan_pipeline.infrastructure.contractual.dura_lex.context_immutability|2|2|1.00
farfan_pipeline.infrastructure.contractual.dura_lex.failure_fallback|2|2|1.00
farfan_pipeline.infrastructure.contractual.dura_lex.monotone_compliance|2|2|1.00
farfan_pipeline.infrastructure.contractual.dura_lex.total_ordering|2|2|1.00
farfan_pipeline.infrastructure.contractual.dura_lex.refusal|2|2|1.00
farfan_pipeline.phases.Phase_1|2|1|2.00
farfan_pipeline.phases.Phase_four_five_six_seven.validation.phase4_7_validation|2|1|2.00
farfan_pipeline.phases.Phase_04.primitives.phase4_10_00_choquet_primitives|2|1|2.00
farfan_pipeline.phases.Phase_05|2|2|1.00
farfan_pipeline.phases.Phase_06|2|1|2.00
farfan_pipeline.infrastructure.irrigation_using_signals.extractors.base_extractor|2|1|2.00
farfan_pipeline.linters.mypy_fallback_plugin|2|1|2.00
farfan_pipeline.resilience|2|1|2.00
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.irrigation.irrigation_map|2|2|1.00
farfan_pipeline.phases.Phase_one.phase1_60_00_signal_enrichment|2|1|2.00
orchestration.meta_layer|2|1|2.00
._registry.questions.question_loader|1|1|1.00
._registry.questions.signal_router|1|1|1.00
._registry.questions.pattern_inheritance|1|1|1.00
.resolver|1|1|1.00
.core|1|1|1.00
canonic_questionnaire_central._registry.questions.pattern_inheritance|1|1|1.00
canonic_questionnaire_central._registry.questions.question_loader|1|1|1.00
.signal_distribution_orchestrator|1|1|1.00
canonic_questionnaire_central.cross_cutting|1|1|1.00
.core.signal_distribution_orchestrator|1|1|1.00
.modules|1|1|1.00
.validators|1|1|1.00
.phase4_territorial_integration|1|1|1.00
.scoring_validators|1|1|1.00
..modules.quality_levels|1|1|1.00
..modules.scoring_modalities|1|1|1.00
farfan_pipeline.orchestration|1|1|1.00
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS|1|1|1.00
canonic_questionnaire_central.scoring.modules.pdet_scoring_enrichment|1|1|1.00
click|1|1|1.00
canonic_questionnaire_central.validations.configuration|1|1|1.00
py_compile|1|1|1.00
farfan_pipeline.infrastructure.calibration.calibration_core|1|1|1.00
farfan_pipeline.infrastructure.calibration|1|1|1.00
farfan_pipeline.infrastructure.questionnaire.modular_resolver|1|1|1.00
farfan_pipeline.phases.Phase_6.phase6_10_01_scoring_config|1|1|1.00
farfan_pipeline.phases.Phase_6.phase6_10_00_phase_6_constants|1|1|1.00
farfan_pipeline.phases.Phase_6.phase6_20_00_adaptive_meso_scoring|1|1|1.00
farfan_pipeline.phases.Phase_6|1|1|1.00
farfan_pipeline.phases.Phase_6.contracts.phase6_output_contract|1|1|1.00
setuptools|1|1|1.00
..api.api_server|1|1|1.00
.api_v1_errors|1|1|1.00
.api_v1_store|1|1|1.00
secrets|1|1|1.00
bcrypt|1|1|1.00
.auth_admin|1|1|1.00
farfan_pipeline.analysis.cross_document_comparative|1|1|1.00
flask_cors|1|1|1.00
flask_socketio|1|1|1.00
werkzeug.utils|1|1|1.00
..api.dashboard_data_service|1|1|1.00
difflib|1|1|1.00
httpx|1|1|1.00
..api.pipeline_connector|1|1|1.00
spacy.pipeline|1|1|1.00
fastapi.exception_handlers|1|1|1.00
fastapi.exceptions|1|1|1.00
starlette.exceptions|1|1|1.00
farfan_pipeline.dashboard_atroz_.api_v1_errors|1|1|1.00
farfan_pipeline.dashboard_atroz_.api_v1_router|1|1|1.00
farfan_pipeline.dashboard_atroz_.auth_router|1|1|1.00
.bayesian_adapter|1|1|1.00
farfan_pipeline.infrastructure.dependencies|1|1|1.00
.audit_trail|1|1|1.00
.runtime_contracts|1|1|1.00
farfan_pipeline.contracts.traceability|1|1|1.00
farfan_pipeline.contracts.context_immutability|1|1|1.00
farfan_pipeline.contracts.concurrency_determinism|1|1|1.00
farfan_pipeline.contracts.idempotency_dedup|1|1|1.00
farfan_pipeline.contracts.failure_fallback|1|1|1.00
farfan_pipeline.contracts.monotone_compliance|1|1|1.00
farfan_pipeline.contracts.alignment_stability|1|1|1.00
farfan_pipeline.contracts.permutation_invariance|1|1|1.00
farfan_pipeline.contracts.budget_monotonicity|1|1|1.00
farfan_pipeline.contracts.routing_contract|1|1|1.00
farfan_pipeline.contracts.risk_certificate|1|1|1.00
farfan_pipeline.contracts.refusal|1|1|1.00
farfan_pipeline.contracts.retriever_contract|1|1|1.00
farfan_pipeline.contracts.snapshot_contract|1|1|1.00
farfan_pipeline.contracts.total_ordering|1|1|1.00
orchestration.verify_contracts|1|1|1.00
.extractor_validator|1|1|1.00
.extractor_orchestrator|1|1|1.00
{extractor.__class__.__module__}|1|1|1.00
.programmatic_hierarchy_extractor|1|1|1.00
.population_disaggregation_extractor|1|1|1.00
.temporal_consistency_extractor|1|1|1.00
.semantic_relationship_extractor|1|1|1.00
farfan_pipeline.infrastructure.extractors.extractor_orchestrator|1|1|1.00
farfan_pipeline.infrastructure.extractors.programmatic_hierarchy_extractor|1|1|1.00
..signals.types.consumption|1|1|1.00
.phase0_90_02_bootstrap|1|1|1.00
.providers|1|1|1.00
.wiring_types|1|1|1.00
.phase2_factory_consumer|1|1|1.00
.phase2_executor_consumer|1|1|1.00
.phase2_evidence_consumer|1|1|1.00
.phase2_contract_consumer|1|1|1.00
.phase3_10_00_signal_enriched_scoring|1|1|1.00
.event|1|1|1.00
.bus|1|1|1.00
queue|1|1|1.00
. signal|1|1|1.00
..vehicles.base_vehicle|1|1|1.00
..signals.types.operational|1|1|1.00
..vocabulary.signal_vocabulary|1|1|1.00
..vocabulary.capability_vocabulary|1|1|1.00
.vocabulary.signal_vocabulary|1|1|1.00
.vocabulary.capability_vocabulary|1|1|1.00
.vocabulary.alignment_checker|1|1|1.00
.irrigation.irrigation_map|1|1|1.00
.irrigation.irrigation_executor|1|1|1.00
.vehicles.signal_registry|1|1|1.00
.vehicles.signal_context_scoper|1|1|1.00
.scripts.generate_contracts|1|1|1.00
.generate_contracts|1|1|1.00
.. core.contracts|1|1|1.00
..irrigation. irrigation_map|1|1|1.00
.structural|1|1|1.00
.integrity|1|1|1.00
.epistemic|1|1|1.00
.contrast|1|1|1.00
.operational|1|1|1.00
.consumption|1|1|1.00
.signal_registry|1|1|1.00
.signal_context_scoper|1|1|1.00
.signal_evidence_extractor|1|1|1.00
.signal_intelligence_layer|1|1|1.00
.signal_loader|1|1|1.00
.signal_quality_metrics|1|1|1.00
.signal_enhancement_integrator|1|1|1.00
.signal_irrigator|1|1|1.00
.signals|1|1|1.00
..signals.types.epistemic|1|1|1.00
..signals.types.integrity|1|1|1.00
. signal_vocabulary|1|1|1.00
.capability_vocabulary|1|1|1.00
.modular_resolver|1|1|1.00
.policy_area_scorer|1|1|1.00
farfan_pipeline.infrastructure.validators|1|1|1.00
.normative_compliance_validator|1|1|1.00
.pylint_unreachable_fallback|1|1|1.00
mypy.plugin|1|1|1.00
mypy.types|1|1|1.00
pylint.checkers|1|1|1.00
pylint.interfaces|1|1|1.00
nltk.corpus|1|1|1.00
nltk.tokenize|1|1|1.00
PyPDF2|1|1|1.00
docx|1|1|1.00
farfan_pipeline.data_models.unit_of_analysis|1|1|1.00
dowhy|1|1|1.00
causalnex.inference|1|1|1.00
causalnex.network|1|1|1.00
causalnex.structure|1|1|1.00
causalnex.structure.notears|1|1|1.00
networkx.drawing.nx_pydot|1|1|1.00
farfan_pipeline.utils.runtime_error_fixes|1|1|1.00
pydot|1|1|1.00
rapidfuzz|1|1|1.00
dnp_integration|1|1|1.00
inference.bayesian_adapter|1|1|1.00
farfan_pipeline.analysis.retry_handler|1|1|1.00
farfan_pipeline.methods.embedding_cache_sota|1|1|1.00
contradiction_deteccion|1|1|1.00
