method,count
PDETMunicipalPlanAnalyzer._identify_causal_nodes,10
PerformanceAnalyzer._calculate_loss_functions,10
PDETMunicipalPlanAnalyzer._effect_to_dict,10
IndustrialPolicyProcessor._build_point_patterns,10
PolicyContradictionDetector._calculate_coherence_metrics,10
PDETMunicipalPlanAnalyzer._score_financial_component,10
PolicyContradictionDetector._calculate_graph_fragmentation,10
OperationalizationAuditor.audit_sequence_logic,10
PDETMunicipalPlanAnalyzer._analyze_funding_sources,10
PDETMunicipalPlanAnalyzer._identify_funding_source,10
PDETMunicipalPlanAnalyzer._extract_budget_for_pillar,10
CausalInferenceSetup.assign_probative_value,10
FinancialAuditor._perform_counterfactual_budget_check,10
AdvancedDAGValidator._calculate_bayesian_posterior,10
AdvancedDAGValidator._calculate_confidence_interval,10
AdaptivePriorCalculator._adjust_domain_weights,10
PDETMunicipalPlanAnalyzer._get_spanish_stopwords,10
BayesianMechanismInference._log_refactored_components,10
PDETMunicipalPlanAnalyzer._assess_financial_sustainability,10
TeoriaCambio._generar_sugerencias_internas,10
PDETMunicipalPlanAnalyzer._indicator_to_dict,10
PolicyContradictionDetector._detect_logical_incompatibilities,10
PDETMunicipalPlanAnalyzer._classify_entity_type,10
PDETMunicipalPlanAnalyzer._score_entity_specificity,10
CausalExtractor._extract_causal_links,10
BayesianMechanismInference._infer_single_mechanism,10
BayesianMechanismInference._infer_chain_capacity_vector,10
PDFProcessor.extract_tables,10
TemporalLogicVerifier.verify_temporal_consistency,10
TeoriaCambio._es_conexion_valida,10
TemporalLogicVerifier._check_deadline_constraints,10
BeachEvidentialTest.classify_test,10
CausalExtractor._initialize_prior,10
PDETMunicipalPlanAnalyzer.sensitivity_analysis,10
MechanismPartExtractor._calculate_ea_confidence,10
PDETMunicipalPlanAnalyzer._identify_causal_edges,10
MechanismPartExtractor._validate_entity_activity,10
MechanismPartExtractor._normalize_entity,10
BayesianCounterfactualAuditor._create_default_equations,10
MechanismPartExtractor.extract_entity_activity,10
PDETMunicipalPlanAnalyzer._bayesian_risk_inference,10
IndustrialPolicyProcessor._compile_pattern_registry,10
IndustrialPolicyProcessor._empty_result,10
PDETMunicipalPlanAnalyzer._identify_confounders,10
PDETMunicipalPlanAnalyzer._extract_from_responsibility_tables,10
AdvancedDAGValidator.add_node,10
AdvancedDAGValidator.add_edge,10
PDETMunicipalPlanAnalyzer._generate_optimal_remediations,10
AdvancedDAGValidator._initialize_rng,10
BayesianMechanismInference._detect_gaps,10
AdvancedDAGValidator._get_node_validator,10
AdvancedDAGValidator._create_empty_result,10
OperationalizationAuditor._audit_direct_evidence,10
IndustrialGradeValidator.run_performance_benchmarks,10
SemanticProcessor.embed_single,10
IndustrialGradeValidator._log_metric,10
PDETMunicipalPlanAnalyzer._is_likely_header,10
HierarchicalGenerativeModel._calculate_likelihood,10
BayesianNumericalAnalyzer.compare_policies,10
BayesianNumericalAnalyzer.evaluate_policy_metric,10
IndustrialGradeValidator.validate_causal_categories,10
TeoriaCambio._extraer_categorias,10
AdvancedDAGValidator._generate_subgraph,10
BayesianCounterfactualAuditor.counterfactual_query,10
AdvancedDAGValidator.get_graph_stats,10
SemanticAnalyzer._classify_cross_cutting_themes,10
PDETMunicipalPlanAnalyzer._score_responsibility_clarity,10
FinancialAuditor.trace_financial_allocation,10
BayesianConfidenceCalculator.calculate_posterior,10
PolicyAnalysisEmbedder.semantic_search,10
PolicyAnalysisEmbedder._apply_mmr,10
SemanticAnalyzer._empty_semantic_cube,10
SemanticAnalyzer._classify_policy_domain,10
SemanticAnalyzer._classify_value_chain_link,10
AdvancedDAGValidator._is_acyclic,10
SemanticAnalyzer._vectorize_segments,10
SemanticAnalyzer._process_segment,10
SemanticAnalyzer._calculate_semantic_complexity,10
PolicyContradictionDetector._calculate_numerical_divergence,10
PDETMunicipalPlanAnalyzer._entity_to_dict,10
PolicyAnalysisEmbedder.generate_pdq_report,10
PolicyContradictionDetector._detect_numerical_inconsistencies,10
SemanticProcessor._detect_table,10
